Ref_Interna,Marca,Modelo,Material,Color,Herrajes,Año_Fabricacion,Estado_General,Disponibilidad,Has_Box,Has_Papers,Has_Dustbag,Has_Receipt,Sourcing_Type,Precio_Retail_USD,Coste_Compra_EUR,Precio_Venta_EUR,Margen_Bruto_EUR,Margen_Pct,Descripcion_Corta
HP-19851,Chanel,Chanel 19 Large,Goatskin,Azul Marino,Paladio (PHW),2025,N - Nuevo,Bajo Pedido (15 días),False,True,True,True,Owned,7100,5947,8136,2189,26.9,Modernidad con acolchado maxi.
HP-56908,Bottega Veneta,Jodie Teen,Suede Intrecciato,Gold,Champagne,2019,A - Excelente,En Stock (24h),False,False,True,False,Consignment,3500,2717,3333,616,18.5,Tamaño perfecto para diario.
HP-81207,Chanel,Classic Flap Jumbo,Caviar,Verde,Paladio (PHW),2023,A - Excelente,Reservado,True,True,True,True,Consignment,11000,10170,12340,2170,17.6,Para quien necesita más espacio.
HP-56445,Bottega Veneta,Jodie Mini,Intrecciato,Azul Marino,Oro (GHW),2023,N - Nuevo,En Stock (24h),True,True,True,True,Owned,2650,2479,3633,1154,31.7,El nudo viral.
HP-46708,Louis Vuitton,Multi Pochette Accessoires,Monogram,Etoupe,Paladio (PHW),2022,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Owned,2600,1928,3207,1279,39.9,El favorito del Street Style.
HP-59150,Dior,Saddle Bag,Oblique Jacquard,Gris Asfalto,Oro (GHW),2018,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,4200,2199,3452,1253,36.3,El retorno del icono de los 2000.
HP-49575,Chanel,Classic Flap Small,Lambskin,Beige Trench,Oro (GHW),2024,AB - Muy bueno,Reservado,False,True,True,True,Consignment,9600,6442,7886,1444,18.3,"Suavidad extrema, cuidado delicado."
HP-50642,Chanel,2.55 Reissue 226,Aged Calfskin,Craie,Oro (GHW),2021,N - Nuevo,Bajo Pedido (15 días),True,False,True,True,Consignment,10300,10634,12685,2051,16.2,El original de Coco Chanel.
HP-91544,Louis Vuitton,Pochette Métis,Monogram Reverse,Gold,Rutenio,2024,B - Buen estado,En Stock (24h),True,False,True,True,Owned,2700,1227,1844,617,33.4,El satchel perfecto para diario.
HP-35001,Dior,30 Montaigne,Box Calf,Gold,Oro Viejo,2023,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,True,Consignment,3900,2670,3222,552,17.1,Elegancia minimalista con cierre CD.
HP-30233,Hermès,Picotin Lock 18,Clemence,Etoupe,Rutenio,2025,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Consignment,3400,2772,3467,695,20.0,El bucket bag de lujo por excelencia.
HP-66292,Prada,Galleria Saffiano Small,Saffiano,Gold,Oro Viejo,2019,N - Nuevo,En Stock (24h),True,True,True,False,Owned,3600,2771,4267,1496,35.1,El maletín ejecutivo.
HP-46075,Bottega Veneta,Cassette Padded,Lambskin,Rouge H,Paladio (PHW),2018,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,4500,2109,3658,1549,42.3,El Intrecciato maxi.
HP-76998,Dior,Lady Dior ABC (Small),Lambskin,Negro,Oro Viejo,2018,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Owned,5900,4555,7265,2710,37.3,El bolso de la Princesa Diana.
HP-52723,Chanel,Classic Flap Small,Lambskin,Azul Marino,Champagne,2018,A - Excelente,En Stock (24h),True,False,True,True,Owned,9600,6600,9549,2949,30.9,"Suavidad extrema, cuidado delicado."
HP-14685,Gucci,Jackie 1961 Small,GG Supreme,Craie,Oro (GHW),2020,A - Excelente,En Sourcing,False,False,True,False,Owned,2950,2150,3041,891,29.3,El hobo bag renacido.
HP-37315,Celine,Belt Bag Nano,Grained Calf,Gold,Rutenio,2019,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,2300,1595,1908,313,16.4,Funcionalidad y discreción.
HP-69231,Fendi,Peekaboo ISeeU Small,Selleria,Verde,Oro Viejo,2019,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Owned,5400,2813,4852,2039,42.0,Artesanía romana.
HP-95866,Louis Vuitton,Pochette Métis,Monogram Reverse,Beige Trench,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,True,True,False,Owned,2700,1535,2488,953,38.3,El satchel perfecto para diario.
HP-16997,Bottega Veneta,Cassette Padded,Lambskin,Azul Marino,Oro (GHW),2023,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Consignment,4500,4591,5540,949,17.1,El Intrecciato maxi.
HP-90899,Hermès,Kelly 28 Sellier,Box Calf,Negro,Oro (GHW),2023,AB - Muy bueno,En Stock (24h),True,False,True,True,Owned,12500,6541,11349,4808,42.4,Elegancia estructurada con costuras visibles.
HP-11498,Chanel,Boy Bag Old Medium,Calfskin,Beige Trench,Paladio (PHW),2025,A - Excelente,Reservado,True,False,True,False,Owned,6700,4350,6267,1917,30.6,Estilo rock-chic con bordes gráficos.
HP-52030,Gucci,Diana Bamboo Small,Leather,Craie,Champagne,2023,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,3600,1892,3332,1440,43.2,Asas de bambú neón.
HP-53054,Gucci,Diana Bamboo Small,Leather,Negro,Champagne,2025,B - Buen estado,Reservado,False,False,True,False,Consignment,3600,1963,2434,471,19.3,Asas de bambú neón.
HP-76019,Fendi,Peekaboo ISeeU Small,Selleria,Verde,Oro Viejo,2023,A - Excelente,En Stock (24h),False,True,True,False,Owned,5400,3404,5324,1920,36.1,Artesanía romana.
HP-93854,Louis Vuitton,Capucines BB,Taurillon,Craie,Rutenio,2018,A - Excelente,En Stock (24h),False,False,True,True,Owned,6100,3319,5880,2561,43.6,La apuesta de LV por el ultra-lujo.
HP-93106,Celine,Luggage Nano,Drummed Calf,Rouge H,Champagne,2022,A - Excelente,En Stock (24h),False,True,True,False,Consignment,2600,1957,2382,425,17.8,El rostro inconfundible.
HP-84355,Dior,Saddle Bag,Oblique Jacquard,Beige Trench,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,True,True,False,Owned,4200,2823,4247,1424,33.5,El retorno del icono de los 2000.
HP-72008,Chanel,Classic Flap Jumbo,Caviar,Verde,Oro (GHW),2019,AB - Muy bueno,En Sourcing,True,False,True,True,Owned,11000,5880,9086,3206,35.3,Para quien necesita más espacio.
HP-45269,Hermès,Kelly 28 Sellier,Box Calf,Beige Trench,Oro (GHW),2018,AB - Muy bueno,En Stock (24h),False,True,True,True,Owned,12500,7258,11425,4167,36.5,Elegancia estructurada con costuras visibles.
HP-12535,Louis Vuitton,Onthego GM,Giant Monogram,Etoupe,Paladio (PHW),2024,A - Excelente,Bajo Pedido (15 días),True,True,True,True,Consignment,3100,3029,3718,689,18.5,Maxi logo para impacto visual.
HP-67721,Celine,Belt Bag Nano,Grained Calf,Etoupe,Rutenio,2023,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Owned,2300,1271,2289,1018,44.4,Funcionalidad y discreción.
HP-22455,Prada,Re-Edition 2005,Re-Nylon,Negro,Rutenio,2023,A - Excelente,En Sourcing,True,False,True,False,Owned,1980,1211,2061,850,41.2,El icono del Y2K.
HP-87344,Louis Vuitton,Pochette Métis,Monogram Reverse,Etoupe,Oro (GHW),2023,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,2700,1437,2494,1057,42.4,El satchel perfecto para diario.
HP-40180,Louis Vuitton,Onthego GM,Giant Monogram,Craie,Oro (GHW),2018,AB - Muy bueno,En Stock (24h),True,False,True,False,Consignment,3100,2127,2579,452,17.5,Maxi logo para impacto visual.
HP-12764,Hermès,Birkin 25,Togo,Verde,Paladio (PHW),2019,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,10400,8056,9543,1487,15.6,El bolso más deseado del mundo.
HP-97823,Hermès,Kelly 28 Sellier,Box Calf,Gold,Oro Viejo,2020,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Consignment,12500,12936,15974,3038,19.0,Elegancia estructurada con costuras visibles.
HP-30756,Loewe,Puzzle Small,Classic Calf,Negro,Rutenio,2023,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,3100,1836,2741,905,33.0,Obra maestra geométrica.
HP-88266,Dior,Saddle Bag,Oblique Jacquard,Rouge H,Oro (GHW),2018,AB - Muy bueno,En Sourcing,True,True,True,False,Owned,4200,2437,3827,1390,36.3,El retorno del icono de los 2000.
HP-10753,Celine,Triomphe Classique,Shiny Calf,Craie,Paladio (PHW),2020,B - Buen estado,En Stock (24h),False,False,True,False,Consignment,3950,2173,2764,591,21.4,El nuevo clásico parisino.
HP-62725,Celine,Triomphe Classique,Shiny Calf,Verde,Oro Viejo,2018,B - Buen estado,Bajo Pedido (15 días),False,True,True,False,Consignment,3950,2495,3018,523,17.3,El nuevo clásico parisino.
HP-46414,Gucci,Marmont Matelassé Small,Leather,Etoupe,Oro Viejo,2023,AB - Muy bueno,En Stock (24h),False,True,True,True,Consignment,2550,1874,2309,435,18.8,El superventas de la década.
HP-46349,Gucci,Horsebit 1955,GG Supreme,Rouge H,Paladio (PHW),2019,A - Excelente,En Stock (24h),False,False,True,False,Consignment,2890,2185,2777,592,21.3,Estilo ecuestre vintage.
HP-61725,Celine,Ava Bag,Triomphe Canvas,Gold,Oro (GHW),2024,A - Excelente,En Sourcing,False,True,True,False,Owned,1700,1168,1628,460,28.2,La silueta de media luna.
HP-50734,Hermès,Kelly 28 Sellier,Box Calf,Azul Marino,Rutenio,2025,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,12500,7477,11461,3984,34.8,Elegancia estructurada con costuras visibles.
HP-82205,Prada,Galleria Saffiano Small,Saffiano,Craie,Rutenio,2020,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,False,Owned,3600,1860,3119,1259,40.3,El maletín ejecutivo.
HP-17967,Hermès,Kelly 25 Retourne,Swift,Beige Trench,Rutenio,2023,AB - Muy bueno,Reservado,False,True,True,False,Consignment,11800,8375,10526,2151,20.4,Acabado suave y relajado.
HP-29471,Gucci,Horsebit 1955,GG Supreme,Azul Marino,Paladio (PHW),2020,A - Excelente,En Stock (24h),True,True,True,False,Consignment,2890,2350,2901,551,19.0,Estilo ecuestre vintage.
HP-83706,Bottega Veneta,The Pouch,Butter Calf,Gris Asfalto,Oro Viejo,2020,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,True,Consignment,3200,2353,2811,458,16.3,El clutch que inició la era.
HP-54859,Louis Vuitton,Multi Pochette Accessoires,Monogram,Azul Marino,Champagne,2025,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,2600,1794,2234,440,19.7,El favorito del Street Style.
HP-49923,Hermès,Evelyne III PM,Clemence,Craie,Champagne,2022,AB - Muy bueno,Reservado,True,False,True,False,Owned,3800,1932,3180,1248,39.2,Casual y funcional con la H perforada.
HP-45033,Fendi,Baguette 1997,Zucca Canvas,Craie,Champagne,2025,AB - Muy bueno,En Stock (24h),True,True,True,False,Consignment,3200,2212,2727,515,18.9,"It's not a bag, it's a Baguette."
HP-75912,Celine,Luggage Nano,Drummed Calf,Craie,Oro (GHW),2019,B - Buen estado,En Stock (24h),True,False,True,True,Owned,2600,1394,1993,599,30.0,El rostro inconfundible.
HP-86078,Chanel,Classic Flap Jumbo,Caviar,Etoupe,Oro Viejo,2020,B - Buen estado,En Stock (24h),False,True,True,False,Consignment,11000,6865,8304,1439,17.3,Para quien necesita más espacio.
HP-26582,Louis Vuitton,Neverfull MM,Monogram,Rouge H,Champagne,2023,AB - Muy bueno,En Stock (24h),True,True,True,False,Consignment,1950,1311,1611,300,18.6,El tote más vendido de la historia.
HP-16707,Fendi,Fendi First Small,Nappa,Gris Asfalto,Oro Viejo,2024,AB - Muy bueno,En Stock (24h),True,True,True,True,Owned,3400,1907,3408,1501,44.0,La F arquitectónica.
HP-72062,Fendi,Fendi First Small,Nappa,Verde,Oro Viejo,2024,N - Nuevo,En Stock (24h),False,True,True,False,Consignment,3400,3289,3922,633,16.1,La F arquitectónica.
HP-53614,Celine,Ava Bag,Triomphe Canvas,Azul Marino,Rutenio,2018,N - Nuevo,Reservado,True,False,True,False,Owned,1700,1200,1998,798,39.9,La silueta de media luna.
HP-27148,Dior,Lady Dior ABC (Small),Lambskin,Craie,Oro (GHW),2025,A - Excelente,En Stock (24h),True,False,True,False,Owned,5900,3369,5503,2134,38.8,El bolso de la Princesa Diana.
HP-29214,Gucci,Dionysus Small,GG Supreme,Craie,Rutenio,2025,AB - Muy bueno,En Sourcing,False,False,True,False,Owned,2980,1614,2465,851,34.5,Cierre de cabeza de tigre mitológico.
HP-97312,Hermès,Kelly 25 Retourne,Swift,Gold,Oro Viejo,2022,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,11800,6299,10724,4425,41.3,Acabado suave y relajado.
HP-83516,Loewe,Gate Dual Mini,Soft Calf,Gris Asfalto,Rutenio,2024,B - Buen estado,En Stock (24h),True,False,True,True,Owned,1950,1041,1421,380,26.7,El saddle bag español.
HP-47058,Fendi,Fendi First Small,Nappa,Beige Trench,Oro Viejo,2019,AB - Muy bueno,En Stock (24h),True,False,True,False,Consignment,3400,2577,3114,537,17.2,La F arquitectónica.
HP-37993,Chanel,Classic Flap Small,Lambskin,Negro,Paladio (PHW),2022,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,9600,5569,9065,3496,38.6,"Suavidad extrema, cuidado delicado."
HP-58568,Bottega Veneta,Jodie Teen,Suede Intrecciato,Gris Asfalto,Rutenio,2020,A - Excelente,En Sourcing,True,False,True,True,Owned,3500,2207,3487,1280,36.7,Tamaño perfecto para diario.
HP-51485,Hermès,Evelyne III PM,Clemence,Craie,Oro (GHW),2023,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,3800,2474,3570,1096,30.7,Casual y funcional con la H perforada.
HP-68186,Prada,Galleria Saffiano Small,Saffiano,Craie,Paladio (PHW),2025,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Consignment,3600,2742,3447,705,20.4,El maletín ejecutivo.
HP-86126,Prada,Cleo Brushed,Spazzolato,Negro,Rutenio,2025,A - Excelente,En Stock (24h),False,False,True,True,Consignment,2900,2460,3005,545,18.1,Futurismo retro.
HP-30168,Bottega Veneta,Jodie Teen,Suede Intrecciato,Rouge H,Oro Viejo,2022,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,3500,2272,3223,951,29.5,Tamaño perfecto para diario.
HP-40710,Dior,30 Montaigne,Box Calf,Azul Marino,Rutenio,2023,A - Excelente,En Stock (24h),False,False,True,False,Owned,3900,2217,3987,1770,44.4,Elegancia minimalista con cierre CD.
HP-37594,Hermès,Evelyne III PM,Clemence,Etoupe,Rutenio,2023,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Consignment,3800,3040,3862,822,21.3,Casual y funcional con la H perforada.
HP-58926,Hermès,Picotin Lock 18,Clemence,Gold,Paladio (PHW),2021,AB - Muy bueno,En Stock (24h),False,True,True,True,Consignment,3400,2404,2979,575,19.3,El bucket bag de lujo por excelencia.
HP-73473,Hermès,Evelyne III PM,Clemence,Azul Marino,Champagne,2022,AB - Muy bueno,En Stock (24h),True,True,True,False,Consignment,3800,2567,3138,571,18.2,Casual y funcional con la H perforada.
HP-37104,Hermès,Birkin 25,Togo,Rouge H,Oro Viejo,2023,A - Excelente,En Sourcing,False,False,True,True,Consignment,10400,8348,10128,1780,17.6,El bolso más deseado del mundo.
HP-36127,Bottega Veneta,The Pouch,Butter Calf,Verde,Paladio (PHW),2024,A - Excelente,En Stock (24h),False,True,True,False,Owned,3200,2200,3072,872,28.4,El clutch que inició la era.
HP-29951,Hermès,Constance 18,Evercolor,Negro,Oro (GHW),2020,A - Excelente,En Stock (24h),False,False,True,True,Owned,8900,5694,8525,2831,33.2,La H icónica. Perfecto para crossbody.
HP-28704,Hermès,Birkin 25,Togo,Azul Marino,Champagne,2021,B - Buen estado,Bajo Pedido (15 días),True,False,True,True,Owned,10400,4754,7908,3154,39.9,El bolso más deseado del mundo.
HP-21655,Louis Vuitton,Onthego GM,Giant Monogram,Etoupe,Champagne,2023,A - Excelente,Reservado,False,False,True,False,Owned,3100,2318,3209,891,27.8,Maxi logo para impacto visual.
HP-20739,Gucci,Diana Bamboo Small,Leather,Beige Trench,Rutenio,2018,A - Excelente,En Stock (24h),True,True,True,False,Consignment,3600,2693,3323,630,18.9,Asas de bambú neón.
HP-73141,Chanel,Classic Flap Small,Lambskin,Beige Trench,Paladio (PHW),2021,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,9600,5256,9249,3993,43.2,"Suavidad extrema, cuidado delicado."
HP-51836,Louis Vuitton,Capucines BB,Taurillon,Beige Trench,Oro Viejo,2018,AB - Muy bueno,En Stock (24h),False,False,True,True,Owned,6100,3804,5384,1580,29.3,La apuesta de LV por el ultra-lujo.
HP-40217,Dior,Saddle Bag,Oblique Jacquard,Gris Asfalto,Oro (GHW),2022,N - Nuevo,Reservado,False,True,True,True,Consignment,4200,4292,5329,1037,19.4,El retorno del icono de los 2000.
HP-67845,Loewe,Puzzle Small,Classic Calf,Azul Marino,Champagne,2022,A - Excelente,En Stock (24h),False,True,True,True,Consignment,3100,2262,2864,602,21.0,Obra maestra geométrica.
HP-39999,Hermès,Birkin 25,Togo,Negro,Paladio (PHW),2018,A - Excelente,En Stock (24h),True,True,True,True,Consignment,10400,10131,12336,2205,17.9,El bolso más deseado del mundo.
HP-75028,Dior,Lady Dior ABC (Small),Lambskin,Azul Marino,Oro (GHW),2023,A - Excelente,En Stock (24h),False,False,True,False,Owned,5900,4025,6058,2033,33.5,El bolso de la Princesa Diana.
HP-79387,Dior,30 Montaigne,Box Calf,Gold,Oro (GHW),2022,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Owned,3900,2851,4925,2074,42.1,Elegancia minimalista con cierre CD.
HP-67330,Celine,Luggage Nano,Drummed Calf,Etoupe,Oro (GHW),2023,N - Nuevo,Bajo Pedido (15 días),False,False,True,True,Consignment,2600,2812,3357,545,16.2,El rostro inconfundible.
HP-74784,Bottega Veneta,Cassette Padded,Lambskin,Gris Asfalto,Oro (GHW),2018,B - Buen estado,Bajo Pedido (15 días),False,False,True,False,Owned,4500,2328,3324,996,29.9,El Intrecciato maxi.
HP-27696,Gucci,Dionysus Small,GG Supreme,Etoupe,Oro Viejo,2021,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,2980,2185,2641,456,17.2,Cierre de cabeza de tigre mitológico.
HP-27504,Chanel,Boy Bag Old Medium,Calfskin,Gris Asfalto,Oro Viejo,2021,A - Excelente,Bajo Pedido (15 días),True,True,True,True,Consignment,6700,6023,7628,1605,21.0,Estilo rock-chic con bordes gráficos.
HP-92219,Celine,Triomphe Classique,Shiny Calf,Verde,Rutenio,2023,AB - Muy bueno,En Stock (24h),True,False,True,True,Consignment,3950,2637,3200,563,17.6,El nuevo clásico parisino.
HP-91197,Chanel,Classic Flap Jumbo,Caviar,Etoupe,Oro Viejo,2022,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Consignment,11000,8552,10691,2139,20.0,Para quien necesita más espacio.
HP-76402,Bottega Veneta,Jodie Mini,Intrecciato,Etoupe,Oro (GHW),2021,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Consignment,2650,2049,2485,436,17.5,El nudo viral.
HP-10294,Celine,Triomphe Classique,Shiny Calf,Negro,Rutenio,2024,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Consignment,3950,4127,4892,765,15.6,El nuevo clásico parisino.
HP-34812,Louis Vuitton,Neverfull MM,Monogram,Gris Asfalto,Paladio (PHW),2025,N - Nuevo,En Sourcing,False,True,True,False,Owned,1950,1909,2562,653,25.4,El tote más vendido de la historia.
HP-10876,Gucci,Dionysus Small,GG Supreme,Craie,Oro Viejo,2022,AB - Muy bueno,Reservado,True,False,True,True,Consignment,2980,2081,2480,399,16.1,Cierre de cabeza de tigre mitológico.
HP-43995,Loewe,Flamenco Clutch,Nappa Calf,Verde,Champagne,2021,B - Buen estado,En Stock (24h),True,True,True,False,Owned,2450,1052,1810,758,41.9,Suavidad y nudos característicos.
HP-25109,Gucci,Horsebit 1955,GG Supreme,Rouge H,Rutenio,2022,A - Excelente,En Stock (24h),True,False,True,False,Owned,2890,1700,2720,1020,37.5,Estilo ecuestre vintage.
HP-10848,Hermès,Birkin 25,Togo,Gris Asfalto,Rutenio,2019,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,False,Consignment,10400,7880,9723,1843,18.9,El bolso más deseado del mundo.
HP-92304,Louis Vuitton,Neverfull MM,Monogram,Beige Trench,Paladio (PHW),2020,AB - Muy bueno,Reservado,False,True,True,False,Owned,1950,1085,1600,515,32.2,El tote más vendido de la historia.
HP-79800,Loewe,Gate Dual Mini,Soft Calf,Etoupe,Paladio (PHW),2023,B - Buen estado,Reservado,True,False,True,False,Consignment,1950,1093,1399,306,21.9,El saddle bag español.
HP-51809,Prada,Cleo Brushed,Spazzolato,Verde,Oro Viejo,2018,B - Buen estado,Bajo Pedido (15 días),True,False,True,True,Owned,2900,1349,2109,760,36.0,Futurismo retro.
HP-48179,Chanel,Classic Flap Medium,Caviar,Rouge H,Rutenio,2024,AB - Muy bueno,En Sourcing,False,False,True,False,Consignment,10300,7391,8892,1501,16.9,El rey de la reventa. Piel resistente.
HP-74974,Chanel,Classic Flap Jumbo,Caviar,Negro,Champagne,2020,A - Excelente,En Stock (24h),False,False,True,False,Owned,11000,7447,10126,2679,26.5,Para quien necesita más espacio.
HP-14853,Celine,Belt Bag Nano,Grained Calf,Azul Marino,Paladio (PHW),2019,N - Nuevo,En Stock (24h),True,True,True,True,Owned,2300,2324,3281,957,29.1,Funcionalidad y discreción.
HP-94593,Louis Vuitton,Alma BB,Epi Leather,Gold,Rutenio,2020,B - Buen estado,Bajo Pedido (15 días),False,True,True,False,Owned,1980,888,1469,581,39.5,Estructura Art Deco atemporal.
HP-63413,Loewe,Hammock Compact,Soft Grain,Gold,Oro Viejo,2025,N - Nuevo,En Stock (24h),True,False,True,False,Consignment,2950,3240,3821,581,15.2,Versatilidad total.
HP-44993,Gucci,Diana Bamboo Small,Leather,Negro,Rutenio,2024,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Owned,3600,2101,2910,809,27.8,Asas de bambú neón.
HP-75903,Louis Vuitton,Onthego GM,Giant Monogram,Negro,Champagne,2023,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Owned,3100,1796,2952,1156,39.1,Maxi logo para impacto visual.
HP-15032,Bottega Veneta,Jodie Teen,Suede Intrecciato,Gold,Paladio (PHW),2018,A - Excelente,En Stock (24h),False,False,True,False,Consignment,3500,2737,3399,662,19.5,Tamaño perfecto para diario.
HP-53018,Dior,Saddle Bag,Oblique Jacquard,Beige Trench,Oro (GHW),2023,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,4200,2601,3507,906,25.8,El retorno del icono de los 2000.
HP-79109,Bottega Veneta,Jodie Mini,Intrecciato,Negro,Oro Viejo,2023,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,False,Owned,2650,1417,2384,967,40.5,El nudo viral.
HP-76865,Hermès,Kelly 28 Sellier,Box Calf,Gold,Oro (GHW),2020,B - Buen estado,Bajo Pedido (15 días),True,True,True,False,Owned,12500,5427,8863,3436,38.8,Elegancia estructurada con costuras visibles.
HP-11509,Celine,Triomphe Classique,Shiny Calf,Rouge H,Oro (GHW),2021,AB - Muy bueno,En Sourcing,True,True,True,False,Owned,3950,2147,3380,1233,36.5,El nuevo clásico parisino.
HP-66844,Bottega Veneta,Jodie Mini,Intrecciato,Negro,Oro (GHW),2021,A - Excelente,En Stock (24h),False,True,True,True,Owned,2650,1900,2602,702,27.0,El nudo viral.
HP-35554,Hermès,Constance 18,Evercolor,Craie,Oro (GHW),2024,N - Nuevo,En Stock (24h),False,True,True,True,Consignment,8900,9250,10940,1690,15.4,La H icónica. Perfecto para crossbody.
HP-80417,Dior,Lady Dior Mini,Satin/Strass,Etoupe,Oro Viejo,2024,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Consignment,5300,3919,4914,995,20.2,Joya de noche.
HP-81331,Celine,Triomphe Classique,Shiny Calf,Gris Asfalto,Oro Viejo,2020,N - Nuevo,En Stock (24h),False,True,True,True,Owned,3950,3160,4782,1622,33.9,El nuevo clásico parisino.
HP-52152,Gucci,Horsebit 1955,GG Supreme,Gris Asfalto,Oro Viejo,2018,AB - Muy bueno,En Stock (24h),True,True,True,False,Owned,2890,2002,2694,692,25.7,Estilo ecuestre vintage.
HP-81593,Dior,Saddle Bag,Oblique Jacquard,Gris Asfalto,Oro (GHW),2024,N - Nuevo,En Stock (24h),False,False,True,False,Owned,4200,3279,5316,2037,38.3,El retorno del icono de los 2000.
HP-74479,Gucci,Jackie 1961 Small,GG Supreme,Verde,Rutenio,2020,AB - Muy bueno,En Stock (24h),True,False,True,False,Consignment,2950,2289,2718,429,15.8,El hobo bag renacido.
HP-76092,Gucci,Marmont Matelassé Small,Leather,Gold,Oro (GHW),2020,N - Nuevo,En Stock (24h),True,True,True,False,Consignment,2550,2413,2990,577,19.3,El superventas de la década.
HP-84844,Hermès,Evelyne III PM,Clemence,Craie,Champagne,2023,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,3800,2673,3343,670,20.0,Casual y funcional con la H perforada.
HP-39724,Fendi,Baguette 1997,Zucca Canvas,Verde,Oro (GHW),2024,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Owned,3200,1871,3180,1309,41.1,"It's not a bag, it's a Baguette."
HP-59837,Hermès,Birkin 25,Togo,Craie,Rutenio,2021,A - Excelente,En Stock (24h),True,True,True,True,Owned,10400,8609,11593,2984,25.7,El bolso más deseado del mundo.
HP-63888,Bottega Veneta,Jodie Mini,Intrecciato,Gris Asfalto,Champagne,2021,N - Nuevo,Reservado,True,True,True,False,Owned,2650,2336,3407,1071,31.4,El nudo viral.
HP-41247,Dior,Lady Dior Mini,Satin/Strass,Rouge H,Oro Viejo,2022,A - Excelente,En Stock (24h),True,False,True,False,Owned,5300,3124,5250,2126,40.5,Joya de noche.
HP-85634,Dior,Lady Dior ABC (Small),Lambskin,Gold,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,True,True,False,Owned,5900,3314,5370,2056,38.3,El bolso de la Princesa Diana.
HP-74095,Celine,Triomphe Classique,Shiny Calf,Craie,Rutenio,2020,A - Excelente,En Stock (24h),True,False,True,False,Owned,3950,2245,3802,1557,41.0,El nuevo clásico parisino.
HP-99993,Gucci,Marmont Matelassé Small,Leather,Gold,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,True,True,False,Consignment,2550,2044,2592,548,21.1,El superventas de la década.
HP-76964,Hermès,Kelly 25 Retourne,Swift,Gold,Rutenio,2022,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Consignment,11800,8844,10946,2102,19.2,Acabado suave y relajado.
HP-31238,Bottega Veneta,The Pouch,Butter Calf,Beige Trench,Champagne,2022,A - Excelente,En Stock (24h),True,False,True,False,Consignment,3200,2622,3255,633,19.4,El clutch que inició la era.
HP-43600,Dior,Saddle Bag,Oblique Jacquard,Rouge H,Rutenio,2024,A - Excelente,En Stock (24h),True,True,True,False,Consignment,4200,3585,4264,679,15.9,El retorno del icono de los 2000.
HP-51598,Bottega Veneta,Jodie Mini,Intrecciato,Gold,Oro (GHW),2021,N - Nuevo,En Stock (24h),False,True,True,True,Consignment,2650,2863,3421,558,16.3,El nudo viral.
HP-25698,Louis Vuitton,Onthego GM,Giant Monogram,Azul Marino,Champagne,2021,A - Excelente,En Stock (24h),True,False,True,False,Consignment,3100,2606,3108,502,16.1,Maxi logo para impacto visual.
